問い合わせ文,応答文
D.e-Connectで、自宅での共用PCから会社PCへ接続できない,"①共用PCを自宅に持ち帰る前に、社内で共用PCの設定変更をすべて完了させてください。
　設定を完了させないと、自宅からは利用出来ません。
②InternetExplorreのProxy設定が、会社内の設定のままになっている場合があります。
　InternetExplorreの「設定」「インターネットオプション」の「接続」タブの中にある「ローカルエリアネットワーク(LAN)」の「LANの設定」を開きプロキシサーバーのチェックをすべて外してください。"
D.e-Connectで、エラーコード「431」が表示され、接続できない,"会社PCマニュアルの下記項目についてご確認ください
・「サーバ」の項目「ホスト」に正しい「対象機器ホスト」を入力ください。
※対象機器ホストが２種類あり、設定を間違えている事が大変多いです
「kasa.magicconnect.net」と「haku.magicconnect.net」があります"
電源オプションで「スリープボタンを押したときの動作」、「カバーを閉じたときの動作の選択」の表示がない,"「スリープボタンを押したときの動作」、「カバーを閉じたときの動作の選択」が表示されない場合は
SMPC(VDI)、FAT-VDIでないか確認ください。
FAT-VDIの場合はFATに設定頂ければFAT→VDI環境へ接続が可能です。
※VDI環境をFAT-PCから利用している場合の設定となります。"
会社PCの設定で、電源設定の項目の「次の時間が経過後休止状態にする」がない,"端末の種類によっては「次の時間が経過後休止状態にする」の項目がないものがございます。
その場合設定のご対応は不要になります。"
D.e-Connectで、「291」エラーが表示されDコネ接続できない,"会社PCの設定マニュアルについてご確認ください。
・ユーザ名（会社PCにサインインする際のユーザ名:従業員コード）
・パスワード（会社PCにサインインする際のパスワード）"
D.e-Connectで、接続先の会社のPCを変更したい場合はどうすればいい？,会社PCを変更される場合はご利用頂くPCにD.e-Connectのアプリ「MagicConnectClient」をインストールして頂くことでご利用が可能になります。申請の必要はございません。
D.e-Connectの設定を行っているのですが、設定画面がグレーアウトして設定できない,現在ご利用中の端末がSMPC(VDI)の為、D.e-Connectはご利用頂けません。FAT-PCに設定頂きますようお願いいたします。
D.e-Connectで、管理画面にログインできない,"「接続サーバ情報」の「会社PCホスト」をご確認ください。
ホストによって管理画面①か②のどちらかで設定頂きます。
※対象機器ホストが２種類あり、設定を間違えている事が大変多いです
「kasa.magicconnect.net」と「haku.magicconnect.net」があります"
会社PCのパスワードを変更した場合、会社PCのD.e-Connectの設定も変更しなければいけない？,"会社PCのパスワードを変更した場合は会社PC側のアプリの設定も変更頂きますようお願いいたします。
変更されない場合は自宅PCから接続する際に会社PCのIPアドレス等の情報が表示されず、接続できなくなりますのでご注意ください。
自宅PC側の設定は不要になります。"
D.e-Connectで、会社PCを電源ONで帰宅しても、勝手にOFFになってしまい接続できない,"会社PCマニュアルの電源オプションの設定がされていることをご確認ください。
・カバーを閉じたときの動作
・システムがスリープになるまでの時間
・システムが休止状態になるまでの時間"
自宅PCから会社PCへリモートデスクトップしたとき、キーボードの入力ができない,異なるキーボードとして認識されている場合がございます、窓口までご連絡ください。
自宅PCから会社PCに接続しようとしたら、接続先に会社PCの情報が出てこない,"会社PCの情報が接続先に出てこない場合は、下記を確認ください。
・会社PCを誤って「シャットダウン」した
・会社PCを電源をオフにした
・会社PCがスリープ状態になっている"
D.e-Connectで、エラーコード「1453」が表示され、接続できない,"エラーコード「1453」が表示される場合以下を確認ください。
・Proxyの設定が間違っている可能性があるので自宅PCアプリに正しいProxy名を入力する。
・ブラウザを起動し、インターネットに接続できるか確認する。"
D.e-Connectで、「293」エラーが表示され、接続できない,"以下をご確認ください。
・ユーザ名:利用開始時に案内された「ユーザ名」
・パスワード:利用開始時に案内された「パスワード」
※会社PCを利用する時の従業員コードとパスワードではありません"
D.e-Connectで、自宅PCから会社PCに接続しようとしたのですが、接続先に会社PCの情報（IPアドレス）が表示されない,"会社PCの情報が出てこない場合、下記を確認ください。
・会社PCの電源が入っているか
・会社PCの電源設定がスリープ状態（または休止状態）になっていないか
・会社PCのリモート設定が正しくされているかどうか"
自宅PCのOSが英語版だった場合、D.e-Connectの自宅アプリの表記は英語表記になる？,会社PC、自宅PC共にOSの表記が日本語の場合は日本語での表記、それ以外の言語の場合は英語表記になります。
D.e-Connectで、接続するときの自宅PCを変更したい場合は？,"自宅PCを変更される場合については端末初期化の作業が必要になりますので、変更される旨を下記窓口までご連絡ください。
TS-PC 運用窓口
[ts-pc@ml.toyotasystems.com](mailto:ts-pc@ml.toyotasystems.com)"
D.e-Connect接続中、Excelの動作が遅くなる,"画面の情報が多い場合、Excelの動作が遅くなる可能性がございます。
頻繁にExcelのシートを切り替えたり、⾧い表をスクロールしたりすると画面情報が多くなる為Excelの動作が遅くなる場合がございます。"
D.e-Connect接続中、利用中のアプリやソフトの動作が遅くなる,"画面の情報量が多い場合、動作が遅くなることがございます。
無線で接続されている場合はルーターの近くか有線接続で事象が改善されるかご確認ください。"
会社PCがSMPC(VDI)の場合、D.e-Connectは利用できる？,"利用できません。
VDIでのご利用はサポート対象外です。"
業務職以外でもD.e-Connectは利用できる？,業務職以外の方でもD.e-Connectをご利用頂けます。
D.e-Connectを利用している会社PCのOSを更新しましたが、なにか申請は必要？,"OSを変更された場合については特に申請のご対応はございません。
OSを変更された場合にD.e-Connectのアプリがアンインストール、またはD.e-Connectで設定頂いた項目がもとに戻っていることがございますので、ご確認頂き再度の設定をお願いいたします。"
現在SMPC(FAT)を利用していますが、D.e-Connectの申請/利用は可能？,"申請は可能です。
他の在宅ツールをお持ちでない場合、申請頂けます。
※リモアクキー、イントラSSLをお持ちの方は環境が整い次第ツールをご返却ください。"
D.e-Connectを利用しているかどうか調べる方法は？,"従業員コードを頂ければ確認可能です。下記窓口までご連絡ください。
TS-PC 運用窓口
[ts-pc@ml.toyotasystems.com](mailto:ts-pc@ml.toyotasystems.com)"
D.e-Connectを返却したい,"D.e-Connectの返却については、""こちら|https://t365cs.sharepoint.com/sites/TS-ALL/A040_/B110_情報システム帳票/C030_利用許可申請""から以下ファイルをダウンロードし、窓口までご連絡ください。
ファイル名：在宅ツール手配依頼（従業員等用）.xlsx
 　　　　　　　在宅ツール手配依頼（委託社員用）.xlsx

詳しくは[D.e-Connect運用について.pptx](https://t365cs.sharepoint.com/sites/TS-OA/99_/99_コロナ対応/D.e-Connect運用について.pptx)をご覧ください。

問合せ窓口 TS-PC 運用窓口（[ts-pc@ml.toyotasystems.com](mailto:ts-pc@ml.toyotasystems.com)）"
D.e-Connect利用中で部署異動がある場合、再申請は必要？,再申請の必要はございません
会社PCを端末交換をしますが、D.e-Connectの申請等は必要？,"追加の申請は必要ございません。
交換された端末にアプリのインストール、設定を頂ければご利用が可能です。
自宅PCの設定はそのままでご利用可能です。"
D.e-Connectを会社復帰後に利用したいですが、どのように申請すればいい？,"会社復帰後に申請をお願いします。
復帰前に申請されても、開始案内を送付できません。"
D.e-Connectで、会社PCと自宅PCのOSが異なっていても問題ない？,問題ありません。
普段会社PCでしている業務と全く同じことがD.e-Connectでできる？,"基本的に可能ですが、一部不可となります。（下記参照）
・会社PCがWindows10の場合、D.e-Connect接続中に
　Skype等でビデオ通話（映像＋音声）が利用不可です。（音声のみは可能）
・自宅PCがMacOSの場合はビデオ通話に加え、音声通話（音声のみ）も利用不可となります。
・Skypeのチャット・PC画面共有等の機能は通常通り利用可能です。"
